Sample_ID,Level,Health,Sampe_no,Rating_TCR,Rating_secondary,Score
7,1,Acute_H,4,C,Bacterial,3
7,1,Acute_H,4,C,Skeletal,1
7,1,Acute_H,4,C,Metazoan,1
7,1,Acute_H,4,R,R,3
8,1,Acute_D,1,T,Host,4
8,1,Acute_D,1,T,Symbiont,1
8,1,Acute_D,1,C,Bacterial,5
8,1,Acute_D,1,C,Skeletal,1
8,1,Acute_D,1,C,Metazoan,1
8,1,Acute_D,1,R,R,3
9,1,Healthy,5,T,Host,3
9,1,Healthy,5,T,Symbiont,1
9,1,Healthy,5,C,Bacterial,1
9,1,Healthy,5,C,Skeletal,1
9,1,Healthy,5,C,Metazoan,1
9,1,Healthy,5,R,R,1
