"","Month","Site","Survey","abundance","Acute_prev_prop","Acute_percent","Acropora_cover","acute_diseased","Month","Site","Survey","abundance","Chronic_prev_prop","Chronic_percent","Acropora_cover","chronic_diseased","Month","Site","Survey","abundance","Paling_prev_prop","Paling_percent","Acropora_cover","paling_diseased"
"36","Sept_2022","SB","SB06",3,0,0,4.2,0,"Sept_2022","SB","SB06",3,0,0,4.2,0,"Sept_2022","SB","SB06",3,0,0,4.2,0
"37","Dec_2022","EB","EB0",4,0,0,14.1,0,"Dec_2022","EB","EB0",4,0,0,14.1,0,"Dec_2022","EB","EB0",4,0,0,14.1,0
"38","Dec_2022","EB","EB02",6,0.166666667,16.66666667,4.7,1.000000002,"Dec_2022","EB","EB02",6,0,0,4.7,0,"Dec_2022","EB","EB02",6,0,0,4.7,0
"39","Dec_2022","EB","EB05",6,0.333333333,33.33333333,36.2,1.999999998,"Dec_2022","EB","EB05",6,0,0,36.2,0,"Dec_2022","EB","EB05",6,0,0,36.2,0
"40","Dec_2022","EB","EB06",16,0.1875,18.75,32.6,3,"Dec_2022","EB","EB06",16,0,0,32.6,0,"Dec_2022","EB","EB06",16,0,0,32.6,0
"41","Dec_2022","EB","EB07",3,0.333333333,33.33333333,0.7,0.999999999,"Dec_2022","EB","EB07",3,0.333333333,33.33333333,0.7,0.999999999,"Dec_2022","EB","EB07",3,0,0,0.7,0
"42","Dec_2022","EB","EB11",4,NA,NA,2.7,NA,"Dec_2022","EB","EB11",4,0.25,25,2.7,1,"Dec_2022","EB","EB11",4,0,0,2.7,0
"43","Dec_2022","SB","SB01",7,0.428571429,42.85714286,9.2,3.000000003,"Dec_2022","SB","SB01",7,0.142857143,14.28571429,9.2,1.000000001,"Dec_2022","SB","SB01",7,0,0,9.2,0
"44","Dec_2022","SB","SB02",15,0.133333333,13.33333333,25.11111111,1.999999995,"Dec_2022","SB","SB02",15,0,0,25.11111111,0,"Dec_2022","SB","SB02",15,0,0,25.11111111,0
"45","Dec_2022","SB","SB03",10,0.4,40,21.1,4,"Dec_2022","SB","SB03",10,0,0,21.1,0,"Dec_2022","SB","SB03",10,0,0,21.1,0
"46","Dec_2022","SB","SB04",6,0,0,3.9,0,"Dec_2022","SB","SB04",6,0,0,3.9,0,"Dec_2022","SB","SB04",6,0,0,3.9,0
"47","Dec_2022","SB","SB05",8,0.25,25,5.9,2,"Dec_2022","SB","SB05",8,0,0,5.9,0,"Dec_2022","SB","SB05",8,0,0,5.9,0
"48","Dec_2022","SB","SB06",1,0,0,3.4,0,"Dec_2022","SB","SB06",1,0,0,3.4,0,"Dec_2022","SB","SB06",1,0,0,3.4,0
"49","April_2023","EB","EB0",17,0.058823529,5.882352941,27.4,0.999999993,"April_2023","EB","EB0",17,0,0,27.4,0,"April_2023","EB","EB0",17,0,0,27.4,0
"50","April_2023","EB","EB02",17,0.411764706,41.17647059,1.5,7.000000002,"April_2023","EB","EB02",17,0,0,1.5,0,"April_2023","EB","EB02",17,0,0,1.5,0
"51","April_2023","EB","EB05",5,0.4,40,50.1,2,"April_2023","EB","EB05",5,0,0,50.1,0,"April_2023","EB","EB05",5,0,0,50.1,0
"52","April_2023","EB","EB06",8,0.625,62.5,30.3,5,"April_2023","EB","EB06",8,0,0,30.3,0,"April_2023","EB","EB06",8,0,0,30.3,0
"53","April_2023","EB","EB07",11,0.090909091,9.090909091,21.6,1.000000001,"April_2023","EB","EB07",11,0,0,21.6,0,"April_2023","EB","EB07",11,0,0,21.6,0
"54","April_2023","EB","EB11",6,0.333333333,33.33333333,16.4,1.999999998,"April_2023","EB","EB11",6,0,0,16.4,0,"April_2023","EB","EB11",6,0.166666667,16.66666667,16.4,1.000000002
"55","April_2023","SB","SB01",14,0.071428571,7.142857143,24.5,0.999999994,"April_2023","SB","SB01",14,0.142857143,14.28571429,24.5,2.000000002,"April_2023","SB","SB01",14,0.071428571,7.142857143,24.5,0.999999994
"56","April_2023","SB","SB02",4,0.5,50,3.9,2,"April_2023","SB","SB02",4,0,0,3.9,0,"April_2023","SB","SB02",4,0,0,3.9,0
"57","April_2023","SB","SB03",10,0.2,20,6.4,2,"April_2023","SB","SB03",10,0,0,6.4,0,"April_2023","SB","SB03",10,0,0,6.4,0
"58","April_2023","SB","SB04",4,0,0,23.3,0,"April_2023","SB","SB04",4,0,0,23.3,0,"April_2023","SB","SB04",4,0,0,23.3,0
"59","April_2023","SB","SB05",19,0.210526316,21.05263158,9.8,4.000000004,"April_2023","SB","SB05",19,0,0,9.8,0,"April_2023","SB","SB05",19,0,0,9.8,0
"60","April_2023","SB","SB06",4,0,0,3.7,0,"April_2023","SB","SB06",4,0,0,3.7,0,"April_2023","SB","SB06",4,0,0,3.7,0
