"","LR Chisq","Df","Pr(>Chisq)"
"Site",1.29310115286205,1,0.255477233307382
"Month",8.57517544770252,4,0.0726410137616089
"Acropora_cover",0.883527092549329,1,0.347237453650451
"Site:Month",22.1177940678244,4,0.000189884549755464
